delomrade,lan,latitud,longitud,groda,sort,jordart,skordear,graderingsdatum,graderingstyp,utvecklingsstadium,Bladfläcksvampar,Gulrost,Svartpricksjuka,Sädesbladlus,DAY,WGS84N,WGS84E,TM_7d_avg,TX_7d_avg,TN_7d_avg,UM_7d_avg,UX_7d_avg,UN_7d_avg,FM2_7d_avg,CLDM_7d_avg,Q0_7d_avg,RR_7d_sum,BT_7d_sum,G0_7d_sum,G3_7d_sum,G5_7d_sum,G7_7d_sum,G8_7d_sum,G10_7d_sum
M Skåne,Skåne län,6143000,425000,Höstvete,Julius,,2019,2019-06-17,Veckovis,65,62.0,50.0,62.0,0.4,2019-06-17,69.042,20.262,8.03,13.98,2.25,69.52,82.5,57.75,2.8,19.75,37.55,0.0,0.0,1006.0,441.0,229.0,106.0,67.0,21.0
M Skåne,Skåne län,6143000,425000,Höstvete,Julius,,2019,2019-06-24,Veckovis,71,62.0,70.0,62.0,1.32,2019-06-24,69.042,20.262,7.03,9.38,4.55,92.22,98.25,85.5,4.15,95.0,15.85,15.7,300.0,1228.0,574.0,306.0,141.0,89.0,28.0
M Skåne,Skåne län,6143000,425000,Höstvete,Julius,,2019,2019-07-01,Veckovis,73,62.0,70.0,62.0,0.12,2019-07-01,69.042,20.262,4.55,7.82,0.08,83.48,93.25,69.5,5.97,86.25,18.8,8.9,100.0,1386.0,646.0,335.0,148.0,92.0,28.0
M Skåne,Skåne län,6143000,425000,Höstvete,Julius,,2019,2019-07-08,Veckovis,77,78.0,70.0,78.0,0.0,2019-07-08,69.042,20.262,8.23,12.82,4.15,84.88,97.75,70.0,3.75,78.0,21.0,6.1,200.0,1565.0,740.0,382.0,166.0,103.0,32.0
M Skåne,Skåne län,6143000,425000,Höstvete,Memory,,2020,2020-04-27,Veckovis,32,6.0,0.0,6.0,0.0,2020-04-27,69.042,20.262,-2.55,0.28,-5.45,90.78,97.5,79.0,7.95,85.75,11.72,0.3,300.0,68.0,0.0,0.0,0.0,0.0,0.0
M Skåne,Skåne län,6143000,425000,Höstvete,Memory,,2020,2020-05-01,Veckovis,32,10.0,2.0,10.0,0.0,2020-05-01,69.042,20.262,-3.5,-0.2,-8.32,84.2,95.0,70.0,5.07,81.75,13.7,0.0,100.0,68.0,0.0,0.0,0.0,0.0,0.0
M Skåne,Skåne län,6143000,425000,Höstvete,Memory,,2020,2020-05-11,Veckovis,37,0.0,0.0,0.0,0.0,2020-05-11,69.042,20.262,-2.97,1.83,-6.95,80.82,93.25,67.0,4.45,74.25,16.0,0.0,100.0,88.0,4.0,0.0,0.0,0.0,0.0
M Skåne,Skåne län,6143000,425000,Höstvete,Memory,,2020,2020-05-15,Veckovis,37,0.0,12.0,0.0,0.0,2020-05-15,69.042,20.262,-2.8,1.58,-7.02,79.45,93.5,66.75,5.92,70.25,17.98,2.2,100.0,88.0,4.0,0.0,0.0,0.0,0.0
M Skåne,Skåne län,6143000,425000,Höstvete,Memory,,2020,2020-05-22,Veckovis,45,2.0,32.0,0.0,0.0,2020-05-22,69.042,20.262,0.68,5.98,-5.15,73.4,93.25,57.5,2.5,42.25,26.57,0.0,0.0,110.0,5.0,0.0,0.0,0.0,0.0
M Skåne,Skåne län,6143000,425000,Höstvete,Memory,,2020,2020-05-29,Veckovis,53,4.0,50.0,0.0,0.0,2020-05-29,69.042,20.262,4.7,8.2,0.88,77.65,88.25,68.75,4.62,78.0,18.98,1.2,0.0,250.0,72.0,28.0,8.0,4.0,0.0
M Skåne,Skåne län,6143000,425000,Höstvete,Memory,,2020,2020-06-08,Veckovis,65,4.0,80.0,4.0,0.04,2020-06-08,69.042,20.262,6.03,11.05,3.5,87.85,96.75,78.25,5.6,92.75,16.08,2.9,300.0,507.0,204.0,97.0,40.0,24.0,8.0
M Skåne,Skåne län,6143000,425000,Höstvete,Memory,,2020,2020-06-13,Veckovis,71,4.0,96.0,0.0,0.04,2020-06-13,69.042,20.262,7.05,11.08,0.8,66.1,81.0,53.25,4.32,58.5,28.1,0.0,0.0,622.0,257.0,122.0,48.0,31.0,11.0
M Skåne,Skåne län,6143000,425000,Höstvete,Memory,,2020,2020-06-22,Veckovis,73,8.0,96.0,0.0,0.88,2020-06-22,69.042,20.262,10.95,16.38,3.05,62.1,81.25,48.0,2.77,39.75,29.0,0.0,0.0,955.0,481.0,281.0,156.0,114.0,59.0
M Skåne,Skåne län,6143000,425000,Höstvete,Memory,,2020,2020-06-29,Veckovis,75,8.0,96.0,0.0,0.28,2020-06-29,69.042,20.262,8.83,14.1,3.78,80.92,96.5,63.75,3.72,61.0,23.22,0.0,100.0,1274.0,709.0,452.0,271.0,206.0,116.0
M Skåne,Skåne län,6143000,425000,Höstvete,Memory,,2020,2020-07-06,Veckovis,77,10.0,98.0,0.0,1.0,2020-07-06,69.042,20.262,6.5,11.0,1.08,81.32,94.75,69.0,3.35,66.5,23.95,5.0,100.0,1451.0,802.0,502.0,299.0,226.0,124.0
M Skåne,Skåne län,6143000,425000,Höstvete,Torp,,2021,2021-04-19,Veckovis,23,10.0,0.0,10.0,0.0,2021-04-19,69.042,20.262,1.45,7.28,-5.42,68.12,82.0,57.5,4.17,48.5,16.33,0.1,0.0,66.0,9.0,1.0,0.0,0.0,0.0
M Skåne,Skåne län,6143000,425000,Höstvete,Torp,,2021,2021-04-23,Veckovis,30,10.0,0.0,10.0,0.0,2021-04-23,69.042,20.262,-0.42,4.28,-4.77,78.25,89.5,61.75,5.6,65.0,15.08,1.3,100.0,103.0,24.0,8.0,0.0,0.0,0.0
M Skåne,Skåne län,6143000,425000,Höstvete,Torp,,2021,2021-05-02,Veckovis,30,10.0,0.0,10.0,0.0,2021-05-02,69.042,20.262,-5.45,-1.92,-9.67,87.43,94.25,80.0,5.4,84.0,11.73,0.3,300.0,104.0,24.0,8.0,0.0,0.0,0.0
M Skåne,Skåne län,6143000,425000,Höstvete,Torp,,2021,2021-05-09,Veckovis,31,10.0,0.0,10.0,0.0,2021-05-09,69.042,20.262,-2.4,1.83,-6.77,87.0,95.25,76.5,3.32,77.5,15.58,0.0,200.0,106.0,24.0,8.0,0.0,0.0,0.0
M Skåne,Skåne län,6143000,425000,Höstvete,Torp,,2021,2021-05-16,Veckovis,32,4.0,0.0,4.0,0.0,2021-05-16,69.042,20.262,1.23,3.9,-1.4,94.95,99.0,90.25,5.9,99.25,11.58,1.8,400.0,147.0,32.0,8.0,0.0,0.0,0.0
M Skåne,Skåne län,6143000,425000,Höstvete,Torp,,2021,2021-05-22,Veckovis,37,0.0,0.0,0.0,0.0,2021-05-22,69.042,20.262,2.95,6.63,-0.62,86.15,96.75,78.0,2.8,86.75,15.15,0.0,200.0,238.0,67.0,24.0,4.0,0.0,0.0
M Skåne,Skåne län,6143000,425000,Höstvete,Torp,,2021,2021-05-30,Veckovis,37,8.0,0.0,8.0,0.0,2021-05-30,69.042,20.262,2.88,6.88,-0.72,84.25,92.75,73.25,8.1,75.5,18.85,0.8,0.0,303.0,83.0,26.0,4.0,0.0,0.0
M Skåne,Skåne län,6143000,425000,Höstvete,Torp,,2021,2021-06-06,Veckovis,45,8.0,0.0,8.0,0.0,2021-06-06,69.042,20.262,8.05,13.58,1.7,63.95,81.25,49.5,3.52,38.25,28.42,0.0,0.0,500.0,194.0,95.0,45.0,31.0,11.0
M Skåne,Skåne län,6143000,425000,Höstvete,Torp,,2021,2021-06-14,Veckovis,57,8.0,4.0,8.0,0.0,2021-06-14,69.042,20.262,7.75,11.9,3.83,82.7,94.5,71.5,4.07,82.25,19.03,17.1,200.0,786.0,377.0,215.0,115.0,80.0,32.0
M Skåne,Skåne län,6143000,425000,Höstvete,Torp,,2021,2021-06-20,Veckovis,65,8.0,8.0,8.0,0.0,2021-06-20,69.042,20.262,7.2,12.03,1.85,77.18,94.5,61.25,3.62,81.25,18.88,0.5,0.0,927.0,448.0,252.0,130.0,88.0,33.0
M Skåne,Skåne län,6143000,425000,Höstvete,Torp,,2021,2021-06-27,Veckovis,71,8.0,30.0,8.0,0.32,2021-06-27,69.042,20.262,8.48,12.43,4.13,72.42,86.75,56.5,3.45,84.25,19.08,1.7,0.0,1164.0,598.0,348.0,180.0,120.0,45.0
M Skåne,Skåne län,6143000,425000,Höstvete,Torp,,2021,2021-07-04,Veckovis,75,8.0,62.0,8.0,0.0,2021-07-04,69.042,20.262,12.98,19.98,4.35,60.78,89.0,39.75,4.3,31.5,33.95,0.0,0.0,1436.0,780.0,472.0,259.0,184.0,83.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Brons,,2016,2016-04-11,Veckovis,22,20.0,0.0,20.0,0.0,2016-04-11,69.042,20.262,-0.5,2.78,-2.98,86.72,96.0,76.0,3.8,94.75,7.75,1.3,200.0,70.0,4.0,0.0,0.0,0.0,0.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Brons,,2016,2016-04-18,Veckovis,22,36.0,0.0,36.0,,2016-04-18,69.042,20.262,-4.78,1.07,-10.4,79.28,94.0,62.5,4.42,62.75,13.0,1.7,100.0,72.0,4.0,0.0,0.0,0.0,0.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Julius,,2016,2016-04-18,Veckovis,22,34.0,0.0,34.0,,2016-04-18,69.042,20.262,-4.78,1.07,-10.4,79.28,94.0,62.5,4.42,62.75,13.0,1.7,100.0,72.0,4.0,0.0,0.0,0.0,0.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Mariboss,,2016,2016-04-18,Veckovis,23,34.0,0.0,34.0,,2016-04-18,69.042,20.262,-4.78,1.07,-10.4,79.28,94.0,62.5,4.42,62.75,13.0,1.7,100.0,72.0,4.0,0.0,0.0,0.0,0.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Nordh,,2016,2016-04-18,Veckovis,22,24.0,0.0,24.0,,2016-04-18,69.042,20.262,-4.78,1.07,-10.4,79.28,94.0,62.5,4.42,62.75,13.0,1.7,100.0,72.0,4.0,0.0,0.0,0.0,0.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Norin,,2016,2016-04-18,Veckovis,21,36.0,4.0,36.0,,2016-04-18,69.042,20.262,-4.78,1.07,-10.4,79.28,94.0,62.5,4.42,62.75,13.0,1.7,100.0,72.0,4.0,0.0,0.0,0.0,0.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Brons,,2016,2016-04-25,Veckovis,22,30.0,0.0,30.0,,2016-04-25,69.042,20.262,-3.85,1.95,-9.62,78.88,91.5,64.0,4.28,71.0,13.38,0.5,0.0,72.0,4.0,0.0,0.0,0.0,0.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Julius,,2016,2016-04-25,Veckovis,22,34.0,0.0,34.0,,2016-04-25,69.042,20.262,-3.85,1.95,-9.62,78.88,91.5,64.0,4.28,71.0,13.38,0.5,0.0,72.0,4.0,0.0,0.0,0.0,0.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Mariboss,,2016,2016-04-25,Veckovis,23,34.0,0.0,34.0,,2016-04-25,69.042,20.262,-3.85,1.95,-9.62,78.88,91.5,64.0,4.28,71.0,13.38,0.5,0.0,72.0,4.0,0.0,0.0,0.0,0.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Nordh,,2016,2016-04-25,Veckovis,22,28.0,2.0,28.0,,2016-04-25,69.042,20.262,-3.85,1.95,-9.62,78.88,91.5,64.0,4.28,71.0,13.38,0.5,0.0,72.0,4.0,0.0,0.0,0.0,0.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Norin,,2016,2016-04-25,Veckovis,30,24.0,4.0,24.0,,2016-04-25,69.042,20.262,-3.85,1.95,-9.62,78.88,91.5,64.0,4.28,71.0,13.38,0.5,0.0,72.0,4.0,0.0,0.0,0.0,0.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Brons,,2016,2016-05-02,Veckovis,22,28.0,0.0,28.0,,2016-05-02,69.042,20.262,3.77,10.12,-2.42,74.45,94.0,56.25,4.82,63.0,16.77,0.7,0.0,153.0,38.0,12.0,0.0,0.0,0.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Julius,,2016,2016-05-02,Veckovis,30,14.0,0.0,14.0,,2016-05-02,69.042,20.262,3.77,10.12,-2.42,74.45,94.0,56.25,4.82,63.0,16.77,0.7,0.0,153.0,38.0,12.0,0.0,0.0,0.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Mariboss,,2016,2016-05-02,Veckovis,30,14.0,0.0,14.0,,2016-05-02,69.042,20.262,3.77,10.12,-2.42,74.45,94.0,56.25,4.82,63.0,16.77,0.7,0.0,153.0,38.0,12.0,0.0,0.0,0.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Nordh,,2016,2016-05-02,Veckovis,30,16.0,2.0,16.0,,2016-05-02,69.042,20.262,3.77,10.12,-2.42,74.45,94.0,56.25,4.82,63.0,16.77,0.7,0.0,153.0,38.0,12.0,0.0,0.0,0.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Norin,,2016,2016-05-02,Veckovis,31,4.0,4.0,4.0,,2016-05-02,69.042,20.262,3.77,10.12,-2.42,74.45,94.0,56.25,4.82,63.0,16.77,0.7,0.0,153.0,38.0,12.0,0.0,0.0,0.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Julius,,2016,2016-05-09,Veckovis,32,4.0,0.0,4.0,0.0,2016-05-09,69.042,20.262,3.62,8.15,-0.57,74.58,89.75,62.0,4.77,85.25,12.72,3.2,0.0,265.0,83.0,27.0,0.0,0.0,0.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Mariboss,,2016,2016-05-09,Veckovis,31,6.0,0.0,6.0,0.0,2016-05-09,69.042,20.262,3.62,8.15,-0.57,74.58,89.75,62.0,4.77,85.25,12.72,3.2,0.0,265.0,83.0,27.0,0.0,0.0,0.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Nordh,,2016,2016-05-09,Veckovis,32,6.0,0.0,6.0,0.0,2016-05-09,69.042,20.262,3.62,8.15,-0.57,74.58,89.75,62.0,4.77,85.25,12.72,3.2,0.0,265.0,83.0,27.0,0.0,0.0,0.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Norin,,2016,2016-05-09,Veckovis,32,4.0,0.0,4.0,0.0,2016-05-09,69.042,20.262,3.62,8.15,-0.57,74.58,89.75,62.0,4.77,85.25,12.72,3.2,0.0,265.0,83.0,27.0,0.0,0.0,0.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Brons,,2016,2016-05-16,Veckovis,31,2.0,0.0,2.0,,2016-05-16,69.042,20.262,1.27,6.5,-3.9,69.22,86.5,52.0,4.4,76.5,17.5,0.7,0.0,327.0,96.0,28.0,0.0,0.0,0.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Julius,,2016,2016-05-16,Veckovis,32,2.0,0.0,2.0,,2016-05-16,69.042,20.262,1.27,6.5,-3.9,69.22,86.5,52.0,4.4,76.5,17.5,0.7,0.0,327.0,96.0,28.0,0.0,0.0,0.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Mariboss,,2016,2016-05-16,Veckovis,32,2.0,0.0,2.0,,2016-05-16,69.042,20.262,1.27,6.5,-3.9,69.22,86.5,52.0,4.4,76.5,17.5,0.7,0.0,327.0,96.0,28.0,0.0,0.0,0.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Nordh,,2016,2016-05-16,Veckovis,37,2.0,0.01,2.0,,2016-05-16,69.042,20.262,1.27,6.5,-3.9,69.22,86.5,52.0,4.4,76.5,17.5,0.7,0.0,327.0,96.0,28.0,0.0,0.0,0.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Norin,,2016,2016-05-16,Veckovis,37,0.0,8.0,0.0,,2016-05-16,69.042,20.262,1.27,6.5,-3.9,69.22,86.5,52.0,4.4,76.5,17.5,0.7,0.0,327.0,96.0,28.0,0.0,0.0,0.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Brons,,2016,2016-05-23,Veckovis,37,0.0,4.0,0.0,,2016-05-23,69.042,20.262,5.62,11.1,1.02,68.03,88.75,48.5,4.68,77.0,19.18,5.8,0.0,411.0,129.0,42.0,9.0,2.0,0.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Julius,,2016,2016-05-23,Veckovis,37,0.0,2.0,0.0,,2016-05-23,69.042,20.262,5.62,11.1,1.02,68.03,88.75,48.5,4.68,77.0,19.18,5.8,0.0,411.0,129.0,42.0,9.0,2.0,0.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Mariboss,,2016,2016-05-23,Veckovis,37,4.0,0.0,4.0,,2016-05-23,69.042,20.262,5.62,11.1,1.02,68.03,88.75,48.5,4.68,77.0,19.18,5.8,0.0,411.0,129.0,42.0,9.0,2.0,0.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Nordh,,2016,2016-05-23,Veckovis,37,2.0,2.0,2.0,,2016-05-23,69.042,20.262,5.62,11.1,1.02,68.03,88.75,48.5,4.68,77.0,19.18,5.8,0.0,411.0,129.0,42.0,9.0,2.0,0.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Norin,,2016,2016-05-23,Veckovis,39,0.0,24.0,0.0,,2016-05-23,69.042,20.262,5.62,11.1,1.02,68.03,88.75,48.5,4.68,77.0,19.18,5.8,0.0,411.0,129.0,42.0,9.0,2.0,0.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Brons,,2016,2016-05-30,Veckovis,39,0.0,6.0,0.0,,2016-05-30,69.042,20.262,10.25,17.32,2.4,57.98,80.5,41.5,3.45,63.5,23.2,3.1,0.0,617.0,250.0,120.0,52.0,36.0,16.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Julius,,2016,2016-05-30,Veckovis,41,0.0,2.0,0.0,,2016-05-30,69.042,20.262,10.25,17.32,2.4,57.98,80.5,41.5,3.45,63.5,23.2,3.1,0.0,617.0,250.0,120.0,52.0,36.0,16.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Mariboss,,2016,2016-05-30,Veckovis,39,0.0,0.0,0.0,,2016-05-30,69.042,20.262,10.25,17.32,2.4,57.98,80.5,41.5,3.45,63.5,23.2,3.1,0.0,617.0,250.0,120.0,52.0,36.0,16.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Nordh,,2016,2016-05-30,Veckovis,41,0.0,4.0,0.0,,2016-05-30,69.042,20.262,10.25,17.32,2.4,57.98,80.5,41.5,3.45,63.5,23.2,3.1,0.0,617.0,250.0,120.0,52.0,36.0,16.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Norin,,2016,2016-05-30,Veckovis,43,0.0,50.0,0.0,,2016-05-30,69.042,20.262,10.25,17.32,2.4,57.98,80.5,41.5,3.45,63.5,23.2,3.1,0.0,617.0,250.0,120.0,52.0,36.0,16.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Brons,,2016,2016-06-06,Veckovis,47,0.0,14.0,0.0,,2016-06-06,69.042,20.262,2.02,7.63,-1.6,79.47,95.5,63.0,7.02,91.75,15.08,0.7,0.0,812.0,374.0,205.0,108.0,80.0,40.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Julius,,2016,2016-06-06,Veckovis,55,0.0,20.0,0.0,,2016-06-06,69.042,20.262,2.02,7.63,-1.6,79.47,95.5,63.0,7.02,91.75,15.08,0.7,0.0,812.0,374.0,205.0,108.0,80.0,40.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Mariboss,,2016,2016-06-06,Veckovis,47,4.0,0.0,4.0,,2016-06-06,69.042,20.262,2.02,7.63,-1.6,79.47,95.5,63.0,7.02,91.75,15.08,0.7,0.0,812.0,374.0,205.0,108.0,80.0,40.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Nordh,,2016,2016-06-06,Veckovis,59,0.0,4.0,0.0,,2016-06-06,69.042,20.262,2.02,7.63,-1.6,79.47,95.5,63.0,7.02,91.75,15.08,0.7,0.0,812.0,374.0,205.0,108.0,80.0,40.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Norin,,2016,2016-06-06,Veckovis,59,0.0,100.0,0.0,,2016-06-06,69.042,20.262,2.02,7.63,-1.6,79.47,95.5,63.0,7.02,91.75,15.08,0.7,0.0,812.0,374.0,205.0,108.0,80.0,40.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Brons,,2016,2016-06-13,Veckovis,61,0.0,58.0,0.0,,2016-06-13,69.042,20.262,3.57,8.4,-1.0,76.92,92.5,61.5,1.97,78.25,20.42,4.1,100.0,899.0,396.0,211.0,108.0,80.0,40.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Julius,,2016,2016-06-13,Veckovis,65,0.0,20.0,0.0,,2016-06-13,69.042,20.262,3.57,8.4,-1.0,76.92,92.5,61.5,1.97,78.25,20.42,4.1,100.0,899.0,396.0,211.0,108.0,80.0,40.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Mariboss,,2016,2016-06-13,Veckovis,59,0.0,0.0,4.0,,2016-06-13,69.042,20.262,3.57,8.4,-1.0,76.92,92.5,61.5,1.97,78.25,20.42,4.1,100.0,899.0,396.0,211.0,108.0,80.0,40.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Nordh,,2016,2016-06-13,Veckovis,65,0.0,4.0,0.0,,2016-06-13,69.042,20.262,3.57,8.4,-1.0,76.92,92.5,61.5,1.97,78.25,20.42,4.1,100.0,899.0,396.0,211.0,108.0,80.0,40.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Norin,,2016,2016-06-13,Veckovis,65,0.0,100.0,0.0,,2016-06-13,69.042,20.262,3.57,8.4,-1.0,76.92,92.5,61.5,1.97,78.25,20.42,4.1,100.0,899.0,396.0,211.0,108.0,80.0,40.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Brons,,2016,2016-06-20,Veckovis,65,0.0,64.0,0.0,,2016-06-20,69.042,20.262,4.8,7.75,2.6,95.42,99.75,90.5,2.75,98.5,14.25,21.6,400.0,1034.0,450.0,231.0,112.0,80.0,40.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Julius,,2016,2016-06-20,Veckovis,71,0.0,20.0,0.0,,2016-06-20,69.042,20.262,4.8,7.75,2.6,95.42,99.75,90.5,2.75,98.5,14.25,21.6,400.0,1034.0,450.0,231.0,112.0,80.0,40.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Mariboss,,2016,2016-06-20,Veckovis,65,4.0,0.0,4.0,,2016-06-20,69.042,20.262,4.8,7.75,2.6,95.42,99.75,90.5,2.75,98.5,14.25,21.6,400.0,1034.0,450.0,231.0,112.0,80.0,40.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Nordh,,2016,2016-06-20,Veckovis,71,4.0,4.0,4.0,,2016-06-20,69.042,20.262,4.8,7.75,2.6,95.42,99.75,90.5,2.75,98.5,14.25,21.6,400.0,1034.0,450.0,231.0,112.0,80.0,40.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Norin,,2016,2016-06-20,Veckovis,71,0.01,100.0,0.01,,2016-06-20,69.042,20.262,4.8,7.75,2.6,95.42,99.75,90.5,2.75,98.5,14.25,21.6,400.0,1034.0,450.0,231.0,112.0,80.0,40.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Brons,,2016,2016-06-27,Veckovis,75,10.0,70.0,10.0,,2016-06-27,69.042,20.262,9.62,15.8,4.6,74.8,93.5,57.0,3.55,76.5,20.85,1.9,0.0,1251.0,579.0,310.0,155.0,109.0,51.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Julius,,2016,2016-06-27,Veckovis,75,10.0,24.0,10.0,,2016-06-27,69.042,20.262,9.62,15.8,4.6,74.8,93.5,57.0,3.55,76.5,20.85,1.9,0.0,1251.0,579.0,310.0,155.0,109.0,51.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Mariboss,,2016,2016-06-27,Veckovis,73,10.0,0.0,10.0,,2016-06-27,69.042,20.262,9.62,15.8,4.6,74.8,93.5,57.0,3.55,76.5,20.85,1.9,0.0,1251.0,579.0,310.0,155.0,109.0,51.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Nordh,,2016,2016-06-27,Veckovis,75,14.0,10.0,14.0,,2016-06-27,69.042,20.262,9.62,15.8,4.6,74.8,93.5,57.0,3.55,76.5,20.85,1.9,0.0,1251.0,579.0,310.0,155.0,109.0,51.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Norin,,2016,2016-06-27,Veckovis,77,10.0,100.0,10.0,,2016-06-27,69.042,20.262,9.62,15.8,4.6,74.8,93.5,57.0,3.55,76.5,20.85,1.9,0.0,1251.0,579.0,310.0,155.0,109.0,51.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Brons,,2016,2016-07-04,Veckovis,77,14.0,80.0,10.0,,2016-07-04,69.042,20.262,12.5,16.98,8.2,77.9,95.5,56.0,5.32,86.5,16.9,3.5,0.0,1604.0,841.0,513.0,298.0,225.0,118.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Julius,,2016,2016-07-04,Veckovis,83,14.0,30.0,8.0,,2016-07-04,69.042,20.262,12.5,16.98,8.2,77.9,95.5,56.0,5.32,86.5,16.9,3.5,0.0,1604.0,841.0,513.0,298.0,225.0,118.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Mariboss,,2016,2016-07-04,Veckovis,77,20.0,0.0,10.0,,2016-07-04,69.042,20.262,12.5,16.98,8.2,77.9,95.5,56.0,5.32,86.5,16.9,3.5,0.0,1604.0,841.0,513.0,298.0,225.0,118.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Nordh,,2016,2016-07-04,Veckovis,83,14.0,16.0,10.0,,2016-07-04,69.042,20.262,12.5,16.98,8.2,77.9,95.5,56.0,5.32,86.5,16.9,3.5,0.0,1604.0,841.0,513.0,298.0,225.0,118.0
SÖ Skåne,Skåne län,6143000,450000,Höstvete,Norin,,2016,2016-07-04,Veckovis,85,10.0,100.0,10.0,,2016-07-04,69.042,20.262,12.5,16.98,8.2,77.9,95.5,56.0,5.32,86.5,16.9,3.5,0.0,1604.0,841.0,513.0,298.0,225.0,118.0
SV Skåne,Skåne län,6144000,376000,Höstvete,Brons,,2016,2016-04-18,Veckovis,23,36.0,0.0,36.0,,2016-04-18,69.042,20.262,-4.78,1.07,-10.4,79.28,94.0,62.5,4.42,62.75,13.0,1.7,100.0,72.0,4.0,0.0,0.0,0.0,0.0
SV Skåne,Skåne län,6144000,376000,Höstvete,Brons,,2016,2016-04-25,Veckovis,23,20.0,0.0,20.0,0.0,2016-04-25,69.042,20.262,-3.85,1.95,-9.62,78.88,91.5,64.0,4.28,71.0,13.38,0.5,0.0,72.0,4.0,0.0,0.0,0.0,0.0
SV Skåne,Skåne län,6144000,376000,Höstvete,Brons,,2016,2016-05-02,Veckovis,30,16.0,0.0,16.0,0.0,2016-05-02,69.042,20.262,3.77,10.12,-2.42,74.45,94.0,56.25,4.82,63.0,16.77,0.7,0.0,153.0,38.0,12.0,0.0,0.0,0.0
SV Skåne,Skåne län,6144000,376000,Höstvete,Brons,,2016,2016-05-09,Veckovis,31,10.0,2.0,10.0,0.0,2016-05-09,69.042,20.262,3.62,8.15,-0.57,74.58,89.75,62.0,4.77,85.25,12.72,3.2,0.0,265.0,83.0,27.0,0.0,0.0,0.0
SV Skåne,Skåne län,6144000,376000,Höstvete,Brons,,2016,2016-05-16,Veckovis,32,0.0,10.0,0.0,0.0,2016-05-16,69.042,20.262,1.27,6.5,-3.9,69.22,86.5,52.0,4.4,76.5,17.5,0.7,0.0,327.0,96.0,28.0,0.0,0.0,0.0
